"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,patient_information,,text,"Record ID",,,,,,,,,,,,,
part_of_clinical_trial,patient_information,,yesno,"Is this case reviewed as part of a clinical trial?",,,,,,,,y,,,,,
clinical_trial_enrolled,patient_information,,dropdown,"Clinical Protocol Patient is Enrolled","0, Trial 1 | 1, Trial 2 | 2, Trial 3 | 3, Trial 4 | 4, Trial X",,,,,,"[part_of_clinical_trial]=""1""",,,,,,
clinical_trial_id,patient_information,,text,"Clinical Trial Identifier",,,,,,,"[part_of_clinical_trial]=""1""",,,,,,
physician_name,patient_information,,text,"Referring Physician Name",,"First and last name of physician submitting the request, e.g., Joe Doe",,,,,,y,,,,,
physician_contact,patient_information,,text,"Referring Physician Contact Email Address",,"Physician's email",,,,,,y,,,,,
physician_institution,patient_information,,text,"Referring Physician Institution",,"Physician's institution",,,,,,,,,,,
other_physician_name,patient_information,,text,"Other Referring Physician Name",,"First and last name of physician submitting the request, e.g., Joe Doe",,,,,,,,,,,
other_physician_contact,patient_information,,text,"Other Referring Physician Contact Email Address",,"Physician's email",,,,,,,,,,,
other_physician_institution,patient_information,,text,"Other Referring Physician Institution",,"Physician's institution",,,,,,,,,,,
mrn,patient_information,,text,MRN,,,,,,y,,y,,,,,
mrn_enterprise,patient_information,,text,"MRN Enterprise",,,,,,,,,,,,,
first_name,patient_information,,text,"First Name",,"The given name(s) of the patient",,,,y,,y,,,,,
last_name,patient_information,,text,"Last Name",,"The family name of the patient",,,,y,,y,,,,,
sex,patient_information,,dropdown,Sex,"0, Female | 1, Male","The gender the patient was given at birth",,,,,,,,,,,
gender,patient_information,,radio,"Administrative Gender","0, Female | 1, Male | 2, Other | 99, Unknown","A gender classification used for administrative purposes, not necessarily the same as a biological description or a sex identity.",,,,,,,,,,,
race,patient_information,,dropdown,Race,"0, American Indian/Alaska Native | 1, Asian | 2, Native Hawaiian or Other Pacific Islander | 3, Black or African American | 4, White | 5, More Than One Race | 6, Unknown / Not Reported","Text code for patient's race",,,,,,,,,,,
ethnicity,patient_information,,dropdown,Ethnicity,"0, Hispanic or Latino | 1, NOT Hispanic or Latino | 2, Unknown/Not Reported","Text code patient's ethnicity",,,,,,,,,,,
dob,patient_information,,text,"Date of Birth",,"Date of birth in the form MMDDYYYY, hyphens will be autocompleted",date_mdy,,,y,,,,,,," @HIDEBUTTON"
pt_address,patient_information,,text,"Address Line",,"The street name and number or P.O. box of the physical home address of the patient",,,,,,,,,,," @HIDDEN-SURVEY"
pt_address_city,patient_information,,text,"Address City",,"Name of city of the physical home address of the patient",,,,,,,,,,," @HIDDEN-SURVEY"
pt_address_state,patient_information,,text,"Address State",,"Name of state of the physical home address of the patient",,,,,,,,,,," @HIDDEN-SURVEY"
pt_address_zipcode,patient_information,,text,"Address Zip Code",,"The postal (zip) code of the physical home address of the patient",,,,,,,,,,," @HIDDEN-SURVEY"
pt_address_period,patient_information,,text,"Address Period",,"Time period address has been in use",,,,,,,,,,," @HIDDEN-SURVEY"
smoking_status,patient_information,,radio,"What is the smoking status of the patient?","0, Current Smoker | 1, Former Smoker | 2, Never Smoker | 98, Smoker, Current Status Unknown | 99, Unknown if Ever Smoked","Text code for patient's smoking status",,,,,,,,,,,
pack_years,patient_information,,text,Pack-years,,"Number with one decimal place for pack-yearss",number_1dp,,,,"[smoking_status] = '0' or [smoking_status] = '1' or [smoking_status] = '98'",,,,,,
