Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,patient_information,,text,Record ID,,,,,,,,,,,,,
hide_selected_forms,patient_information,,yesno,Hide Selected Forms,,,,,,,,,,,,, @DEFAULT='1' @HIDDEN
mrn,patient_information,,text,MRN,,"The patient's JH medical record number, including code system and unique value",,,,y,,y,,,,,
mrn_enterprise,patient_information,,text,MRN Enterprise,,,,,,,,y,,,,,
first_name,patient_information,,text,First Name,,The given name(s) of the patient,,,,y,,y,,,,,
last_name,patient_information,,text,Last Name,,The family name of the patient,,,,y,,y,,,,,
sex,patient_information,,dropdown,Sex,"F, Female | M, Male | UNK, Unknown",The gender the patient was given at birth,,,,,,,,,,,
gender,patient_information,,radio,Administrative Gender,"0, Female | 1, Male | 2, Other | 99, Unknown","A gender classification used for administrative purposes, not necessarily the same as a biological description or a sex identity.",,,,,,,,,,, @HIDDEN
race,patient_information,,dropdown,Race,"0, American Indian/Alaska Native | 1, Asian | 2, Native Hawaiian or Other Pacific Islander | 3, Black or African American | 4, White | 5, More Than One Race | 6, Unknown / Not Reported",Text code for patient's race,,,,,,,,,,,
ethnicity,patient_information,,dropdown,Ethnicity,"0, Hispanic or Latino | 1, NOT Hispanic or Latino | 2, Unknown/Not Reported",Text code patient's ethnicity,,,,,,,,,,,
dob,patient_information,,text,Date of Birth,,"Date of birth in the form MMDDYYYY, hyphens will be autocompleted",date_mdy,,,y,,,,,,, @HIDEBUTTON
age_at_diagnosis,patient_information,,calc,Age at Diagnosis,"round(datediff ([dob], [primary_ca_path_dx_dt_full], ""y""),'1')",Age in years,,,,,,,,,,,
pt_address,patient_information,,text,Address Line,,The street name and number or P.O. box of the physical home address of the patient,,,,,,,,,,, @HIDDEN
pt_address_city,patient_information,,text,Address City,,Name of city of the physical home address of the patient,,,,,,,,,,, @HIDDEN
pt_address_state,patient_information,,text,Address State,,Name of state of the physical home address of the patient,,,,,,,,,,, @HIDDEN
